"Layer","Designator","Center-Y(mm)","Center-X(mm)","Comment","Footprint","Rotation","Description"
"TopLayer","C1","53.4000","131.9000","1 �F","Capacitor,_0603_Imperial_(1608_Metric)","90","Capacitor, 1 �F, 10 V, X5R, 0603 Imperial (1608 Metric)"
"TopLayer","C2","53.4000","133.1500","100 nF","Capacitor,_0603_Imperial_(1608_Metric)","90","Capacitor, 100 nF, 16 V, X5R, 0603 Imperial (1608 Metric)"
"TopLayer","C3","47.1000","14.2000","1 �F","Capacitor,_0603_Imperial_(1608_Metric)","270","Capacitor, 1 �F, 10 V, X5R, 0603 Imperial (1608 Metric)"
"TopLayer","C4","47.1000","12.7000","100 nF","Capacitor,_0603_Imperial_(1608_Metric)","270","Capacitor, 100 nF, 16 V, X5R, 0603 Imperial (1608 Metric)"
"TopLayer","C5","27.7500","30.4250","18 pF","Capacitor,_0603_Imperial_(1608_Metric)","270","Capacitor, 18 pF, 16 V, X5R, 0603 Imperial (1608 Metric)"
"TopLayer","C6","38.6000","18.9250","10 �F","Capacitor,_0603_Imperial_(1608_Metric)","180","Capacitor, 10 �F, 16 V, X5R, 0603 Imperial (1608 Metric)"
"TopLayer","C7","48.9500","32.4000","1 �F","Capacitor,_0603_Imperial_(1608_Metric)","90","Capacitor, 1 �F, 10 V, X5R, 0603 Imperial (1608 Metric)"
"TopLayer","C8","43.1750","18.9250","100 nF","Capacitor,_0603_Imperial_(1608_Metric)","180","Capacitor, 100 nF, 16 V, X5R, 0603 Imperial (1608 Metric)"
"TopLayer","C9","48.9500","22.1750","10 �F","Capacitor,_0603_Imperial_(1608_Metric)","90","Capacitor, 10 �F, 16 V, X5R, 0603 Imperial (1608 Metric)"
"TopLayer","C10","35.4500","36.1000","100 nF","Capacitor,_0603_Imperial_(1608_Metric)","270","Capacitor, 100 nF, 16 V, X5R, 0603 Imperial (1608 Metric)"
"TopLayer","C11","48.9500","26.0000","100 nF","Capacitor,_0603_Imperial_(1608_Metric)","90","Capacitor, 100 nF, 16 V, X5R, 0603 Imperial (1608 Metric)"
"TopLayer","C12","40.0250","18.9250","1 �F","Capacitor,_0603_Imperial_(1608_Metric)","180","Capacitor, 1 �F, 10 V, X5R, 0603 Imperial (1608 Metric)"
"TopLayer","C13","27.8000","24.8000","18 pF","Capacitor,_0603_Imperial_(1608_Metric)","90","Capacitor, 18 pF, 16 V, X5R, 0603 Imperial (1608 Metric)"
"TopLayer","C14","31.7000","54.5000","100 nF","Capacitor,_0603_Imperial_(1608_Metric)","90","Capacitor, 100 nF, 16 V, X5R, 0603 Imperial (1608 Metric)"
"TopLayer","C15","41.7000","56.0000","100 nF","Capacitor,_0603_Imperial_(1608_Metric)","90","Capacitor, 100 nF, 16 V, X5R, 0603 Imperial (1608 Metric)"
"TopLayer","C16","21.7000","54.5000","100 nF","Capacitor,_0603_Imperial_(1608_Metric)","90","Capacitor, 100 nF, 16 V, X5R, 0603 Imperial (1608 Metric)"
"TopLayer","C17","11.7000","54.5000","100 nF","Capacitor,_0603_Imperial_(1608_Metric)","90","Capacitor, 100 nF, 16 V, X5R, 0603 Imperial (1608 Metric)"
"TopLayer","C18","19.2250","102.3750","10 �F","Capacitor,_0603_Imperial_(1608_Metric)","180","Capacitor, 10 �F, 16 V, X5R, 0603 Imperial (1608 Metric)"
